elapsed_s,phase,port,alicat_addr,target_sp,alicat_psi,transducer_psi,transducer_v,offset
12.088,dynamic,port_a,B,30.00,12.3300,12.3586,4.1195,0.0286
12.377,dynamic,port_a,B,30.00,12.6200,12.6432,4.2144,0.0232
12.664,dynamic,port_a,B,30.00,12.9100,12.8058,4.2686,-0.1042
12.951,dynamic,port_a,B,30.00,13.1900,12.7258,4.2419,-0.4642
13.239,dynamic,port_a,B,30.00,13.4800,13.5040,4.5013,0.0240
13.527,dynamic,port_a,B,30.00,13.7700,13.7905,4.5968,0.0205
13.814,dynamic,port_a,B,30.00,14.0600,13.8764,4.6255,-0.1836
14.102,dynamic,port_a,B,30.00,14.3400,13.4951,4.4984,-0.8449
14.389,dynamic,port_a,B,30.00,14.6300,14.6525,4.8842,0.0225
14.677,dynamic,port_a,B,30.00,14.9200,14.9413,4.9804,0.0213
14.964,dynamic,port_a,B,30.00,15.2100,15.0378,5.0126,-0.1722
15.252,dynamic,port_a,B,30.00,15.5000,14.5551,4.8517,-0.9449
15.540,dynamic,port_a,B,30.00,15.7800,15.8062,5.2687,0.0262
15.827,dynamic,port_a,B,30.00,16.0700,16.0887,5.3629,0.0187
16.115,dynamic,port_a,B,30.00,16.3600,16.3707,5.4569,0.0107
16.402,dynamic,port_a,B,30.00,16.6500,15.6053,5.2018,-1.0447
16.690,dynamic,port_a,B,30.00,16.9300,16.9533,5.6511,0.0233
16.977,dynamic,port_a,B,30.00,17.2200,17.2403,5.7468,0.0203
17.265,dynamic,port_a,B,30.00,17.5100,17.5214,5.8405,0.0114
17.553,dynamic,port_a,B,30.00,17.8000,16.3082,5.4361,-1.4918
17.840,dynamic,port_a,B,30.00,18.0800,18.0907,6.0302,0.0107
18.128,dynamic,port_a,B,30.00,18.3700,18.3890,6.1297,0.0190
18.416,dynamic,port_a,B,30.00,18.6600,18.6749,6.2250,0.0149
18.703,dynamic,port_a,B,30.00,18.9500,17.1256,5.7085,-1.8244
18.990,dynamic,port_a,B,30.00,19.2300,18.9952,6.3317,-0.2348
19.278,dynamic,port_a,B,30.00,19.5200,19.5377,6.5126,0.0177
19.566,dynamic,port_a,B,30.00,19.8100,19.8239,6.6080,0.0139
19.854,dynamic,port_a,B,30.00,20.1000,18.2240,6.0747,-1.8760
20.141,dynamic,port_a,B,30.00,20.3800,20.0331,6.6777,-0.3469
